#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-26T01:16:32 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-26T01:16:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/ApJS/225/9/table5&-source=J/ApJS/225/9/table5&-out=KOI&-out=Per&-out=Model&-out=Per2&-out=e_Per2&-out=u_Amp&-out=Amp&-out=e_Amp&-out=Res&-out=N&-out=Mult&-out=Ref&-out=Kepler&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22250009
#Name: J/ApJS/225/9
#Title: Kepler TTVs. IX. The full long-cadence data set (Holczer+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/225/9	    IVOID of underlying data collection
#INFO	creator=Holczer T.	    First author or institution
#INFO	cites=bibcode:2016ApJS..225....9H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/225/9	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22250009	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_225_9_table5:
#Name: J/ApJS/225/9/table5
#Title: KOIs with significant long-term TTV
#Column	KOI	(F7.2)	[12.01/5866.01] KOI number	[ucd=meta.id;meta.main]
#Column	Per	(F6.2)	[0.9/285]? Orbital period	[ucd=time.period]
#Column	Model	(A3)	Model type (1)	[ucd=meta.note]
#Column	Per2	(F7.2)	[110/2480]? Best-fit period of the O-C data using model "Cos"	[ucd=time.period;meta.modelled]
#Column	e_Per2	(F6.2)	[0.08/370]? Period uncertainty	[ucd=stat.error]
#Column	u_Amp	(A1)	[~] Uncertainty flag on Amp	[ucd=meta.code.error]
#Column	Amp	(F8.3)	The amplitude of the cosine fit	[ucd=src.var.amplitude]
#Column	e_Amp	(F8.3)	[0.04/1400]? Amp uncertainty	[ucd=stat.error]
#Column	Res	(F6.2)	[0.05/190] Residual scatter (1.483 times their MAD)	[ucd=stat.error]
#Column	N	(I4)	[4/1384]? Number of TT measurements	[ucd=meta.number]
#Column	Mult	(I1)	[1/6]? Number of detected planets in the system (see B12)	[ucd=meta.number]
#Column	Ref	(a8)	References (see refs.dat file)	[ucd=meta.ref]
#Column	Kepler	(A5)	Kepler number	[ucd=meta.id]
KOI|Per|Model|Per2|e_Per2|u_Amp|Amp|e_Amp|Res|N|Mult|Ref|Kepler
# |d| |d|d| |min|min|min| | | |
#-------|------|---|-------|------|-|--------|--------|------|----|-|--------|-----
  12.01| 17.86|Cos|1246.00| 60.00| |   1.152|   0.081|  1.20|  69|1|        |
  42.01| 17.83|Cos| 960.60|  9.20| |  15.590|   0.490|  4.10|  75|1|3       |410Ab
  75.01|105.88|Pol|       |      |~|  20.000|        |  4.00|  10|1|        |
  84.01|  9.29|Cos| 313.50|  2.10| |   5.030|   0.340|  2.90| 142|1|4       |19b
  89.01| 84.69|Cos| 550.00| 23.00| |   8.900|   2.600|  5.20|  16|2|        |
  89.02|207.59|Cos|1440.00|110.00| |  55.000|  13.000| 12.00|   6|2|        |
  94.03| 54.32|Cos| 682.00| 16.00| |   8.700|   1.300|  0.83|   8|4|5       |89e
 103.01| 14.91|Cos| 262.48|  0.63| |  26.630|   0.630|  5.60|  90|1|1,2     |
 108.02|179.61|Pol|       |      |~|  15.000|        |  4.00|   6|2|6       |103c
 119.02|190.32|Cos| 881.00| 56.00| |  10.700|   2.700|  1.10|   7|2|7       |108c
 137.01|  7.64|Cos| 269.40|  1.40| |   4.300|   0.230|  2.70| 157|3|1, 8    |18c
 137.02| 14.86|Cos| 267.60|  1.40| |   4.490|   0.270|  1.50|  71|3|1, 2, 8 |18d
 139.01|224.83|Cos|2213.00| 79.00| | 211.000|  22.000| 13.00|   7|2|7       |111c
 142.01| 10.95|Cos| 627.52|  0.08| | 649.770|   0.620| 59.00| 119|1|1, 2, 9 |88b
 142.01|      |Cos| 331.75|  0.12| | 105.320|   0.450| 59.00|    | |        |
 152.01| 52.09|Cos| 614.00| 13.00| |   8.600|   1.300|  5.80|  26|4|7       |79d
 152.02| 27.40|Cos| 963.00| 47.00| |  14.300|   2.500|  9.80|  40|4|10      |79c
 152.03| 13.48|Cos| 849.00| 35.00| |   9.400|   1.400|  9.40|  85|4|10      |79b
 152.04| 81.06|Cos| 738.00| 38.00| |  34.000|   9.100| 10.00|  14|4|7       |79e
 157.01| 13.02|Cos| 229.30|  3.20| |   6.900|   1.600|  5.90|  69|6|11      |11c
 157.03| 32.00|Cos| 182.70|  2.00| |   6.400|   1.900|  6.30|  33|6|11      |11e
 157.03|      |Cos| 138.70|  1.20| |   5.200|   1.200|  6.30|    | |        |
 157.04| 46.69|Cos| 558.00| 11.00| |  26.300|   4.400|  3.40|  18|6|2,11    |11f
 165.01| 13.22|Cos| 522.00| 18.00| |   4.000|   1.200|  5.80|  92|1|        |
 166.01| 12.49|Cos| 288.10|  7.50| |   3.900|   1.100|  5.10| 102|1|        |
 168.01| 10.74|Cos| 456.80|  5.80| |  22.500|   2.800| 10.00|  88|3|2,12    |23c
 168.03|  7.11|Cos| 451.00| 12.00| |  46.000|  11.000| 30.00|  72|3|12      |23b
 202.01|  1.72|Pol|       |      |~|   0.300|        |  0.61| 728|1|13      |412b
 226.01|  8.31|Cos| 606.00| 18.00| |   9.200|   1.700| 10.00| 144|1|        |
