,time,flux,err
944,-2014.726652605459,1.0002954,6.988398
945,-2014.6857839776203,1.0004222,6.988396
946,-2014.665349513758,1.0003728,6.9879155
947,-2014.6449151504785,1.0002979,6.984003
948,-2014.6244808868505,1.0003915,6.9836617
949,-2014.6040464234536,1.0002306,6.9781084
950,-2014.5836120601743,1.0005347,6.983382
951,-2014.5631776968949,1.0002925,6.9831624
952,-2014.5427434337323,1.0002509,6.984246
953,-2014.5223089708013,1.0000504,6.980885
954,-2014.501874607988,1.0003603,6.9840837
955,-2014.481440345291,1.0002714,6.976564
956,-2014.4610058828257,1.0004431,6.9797826
957,-2014.440571520012,1.0003082,6.989803
958,-2014.4201372577809,1.0003786,6.9817395
959,-2014.3997028954327,1.0001968,6.9893827
960,-2014.379268433433,1.0002455,6.9823866
961,-2014.358834171202,1.0003299,6.976228
962,-2014.317965447903,1.0001521,6.9741607
963,-2014.29753108602,1.0004512,6.987286
964,-2014.1340561970137,1.0000854,6.9808073
965,-2014.1136219366451,1.0004238,6.9692063
966,-2014.0931874760429,0.99995494,6.9638386
967,-2013.868409519084,0.99546856,6.9709253
968,-2013.8479752601124,0.99520063,6.965157
969,-2013.827540901024,0.9953791,6.972134
970,-2013.807106542401,0.9948965,6.9667177
971,-2013.786672083661,0.99521095,6.968821
972,-2013.766237725038,0.99503976,6.9740043
973,-2013.745803466998,0.99513036,6.9722385
974,-2013.725369008258,0.9950299,6.962479
975,-2013.7049346501008,0.9949869,6.968834
976,-2013.6845003920607,0.99497867,6.970015
977,-2013.6436316766776,0.995363,6.9731445
978,-2013.623197318986,0.9952684,6.9751496
979,-2013.6027629612945,0.9956016,6.978463
980,-2013.5823285039517,0.99572706,6.969947
981,-2013.5618941467253,0.9963992,6.9749846
982,-2013.5414598891512,0.9970954,6.979084
983,-2013.521025532391,0.99952614,6.9876814
984,-2013.5005910755133,1.0002232,6.9856205
985,-2013.4801568184048,1.0001959,6.9899316
986,-2013.4597224616448,1.000194,6.9831767
987,-2013.4392880052328,1.0002275,6.982656
988,-2013.4188537485895,1.0001597,6.982793
989,-2013.3984193922952,1.0001433,6.9874573
990,-2013.3779850360008,1.0002315,6.9909067
991,-2013.357550680172,1.0002096,6.9889164
992,-2013.3371163243428,1.0003121,6.9909244
993,-2013.3166819685136,1.0,6.9887996
994,-2013.275813256856,1.0000147,6.9905934
995,-2013.2553789014928,1.0001124,6.988898
996,-2013.2349446462467,0.99992573,6.98429
997,-2013.2145101907663,1.0001532,6.9931717
998,-2013.1940758358687,1.0000536,6.9848466
999,-2013.1736415810883,1.000244,6.990211
1000,-2013.132772771176,1.0002453,6.9822907
1001,-2013.1123385168607,1.0002745,6.991112
1002,-2013.07146970788,1.0000012,6.989867
1003,-2013.051035353914,0.9999291,6.98701
1004,-2013.0306010995992,1.0002359,6.987076
1005,-2013.010166745633,1.0001094,6.992486
1006,-2012.9897322915492,1.0001041,6.992507
1007,-2012.969298038166,1.0001552,6.9870205
1008,-2012.9488636842,1.00001,6.9883456
1009,-2012.928429231048,1.0001585,6.9937444
1010,-2012.907994977664,1.0003655,6.987011
1011,-2012.887560624164,0.9998972,6.988639
1012,-2012.8466919180937,1.0001326,6.9895787
1013,-2012.8262575650588,1.0004164,6.99107
1014,-2012.8058232124893,1.0000827,6.992543
1015,-2012.78538885992,1.0003422,6.991103
1016,-2012.764954507351,1.0005398,6.995847
3570,-1947.6212507910093,0.9999518,6.9372697
3571,-1947.600817151833,0.99994665,6.937231
3572,-1947.58038341254,1.0006616,6.938715
3573,-1947.5599498744125,1.0001577,6.937258
3574,-1947.5395162357015,1.0001316,6.936547
3575,-1947.5190824978051,1.0000725,6.937196
3576,-1947.4986489596777,1.000463,6.9379954
3577,-1947.478215322364,1.0003958,6.93821
3578,-1947.4577816850503,1.000023,6.937324
3579,-1947.4373480482027,1.0000299,6.936316
3580,-1947.4169144113548,1.0000331,6.937277
3581,-1947.3964807754385,1.000325,6.937085
3582,-1947.376047139056,1.0000925,6.9373193
3583,-1947.355613503605,1.0003102,6.9379573
3584,-1947.3351798676888,0.99998343,6.936607
3585,-1947.3147461325864,1.000184,6.9372883
3586,-1947.294312597718,1.0000399,6.937227
3587,-1947.253445428796,1.0001562,6.936927
3588,-1947.233011694625,1.0000542,6.9370317
3589,-1947.212578161154,1.0001551,6.9372454
3590,-1947.1921444274485,1.0003303,6.9368887
3591,-1947.171710794326,1.0002936,6.937631
3592,-1947.130843628664,1.0001702,6.937363
3593,-1947.1104099964723,1.0001049,6.9371285
3594,-1947.0899762646293,0.99987483,6.9371
3595,-1947.0695427325556,1.000235,6.9378934
3596,-1947.0491091012957,0.9999887,6.937303
3597,-1947.008241838776,1.0002532,6.9367867
3598,-1946.9878082079813,1.0001665,6.9373145
3599,-1946.9673746777696,1.000036,6.937177
3600,-1946.9469409477897,1.0002323,6.9374256
3601,-1946.9265073179267,1.0005273,6.938227
