name,objectno,epoch,value,error,lower_bound,upper_bound,spread,prior,flag
p,1,0,67.5923754,0.2,67.4,67.7,.01,gaussian,free
q1,0,0,0.25,.001,0,1,0.05,box,free
q2,0,0,0.25,0.001,0,1,0.2,box,free
rprs,1,0,0.0674883228697295,0.000058,0,1,.01,box,free
b,1,0,.5,.001,0,1,0.2,box,free
sqrte_cosw,1,0,0,0.01,-1,1,0.5,box,free
sqrte_sinw,1,0,0,0.01,-1,1,0.5,box,free
mstar,0,0,1.3792,0.0764,1,1.9,0.18,box,free
rstar,0,0,1.6714,0.0305,0.8,2.5,0.1,box,free
teff,0,0,6153.2884,125,6000,6250,50,gaussian,free
feh,0,0,0.4338,0.08,-0.25,0.75,0.008,gaussian,free
parallax,0,0,0.8970763044554365,0.01011574,0.87,0.91,0.01,gaussian,free
dist,0,0,1114.7323756445028,13.259780853967868,1101.472594790534932,1127.992156498470668,none,none,fixed
av,0,0,0,0,0,0.7,.1,box,free
errscale,0,0,1,0,.01,100,.05,box,free
age_Gyr,0,0,3,0,0.5,10,.2,box,free
